Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Argentina	Buenos Aires	Buenos Aires Circuito No.6S	2020	Grade 1	4.259	10	17		2020-02-20
Argentina	Buenos Aires	Buenos Aires Circuito No.7	2020	Grade 1	2.607	10	4		2020-02-20
Argentina	Buenos Aires	Buenos Aires Circuito No.8	2020	Grade 1	3.327	10	9		2020-02-20
Argentina	Buenos Aires	Buenos Aires Circuito No.9	2020	Grade 1	3.335	10	11		2020-02-20
Norway	Buskerud	Buskerud Kart Long	2020	Kart	1.531	35.188	22		2020-07-30
Norway	Buskerud	Buskerud Kart	2020	Kart	0.958	35.188	15		2020-07-30
England	Cadwell Park	Cadwell Park	2020	Ungraded/Alternate	3.502	122	16		2020-06-05
Brazil	Campo Grande	Campo Grande	2020	Grade 3	3.433	592	12		2020-06-07
Brazil	Cascavel	Cascavel	2020	Grade 3	3.302	750	7		2020-10-18
USA	Cleveland	Cleveland GP	2003	Ungraded/Alternate	3.389	199	10	Racin´ USA 1	2020-6-5
USA	Cleveland	Cleveland STT	2003	Temporary	3.389	199	10	Adrenaline 2	2020-6-5
Argentina	Córdoba	Córdoba TC	2020	Ungraded/Alternate	3.653	586	7		2020-6-3
Argentina	Córdoba	Córdoba No.4	2020	Ungraded/Alternate	4.060	586	13		2020-2-18
Argentina	Córdoba	Córdoba No.2	2020	Ungraded/Alternate	2.060	586	11		2022-10-9
Brazil	Curitiba	Curitiba	2020	Grade 3	3.695	881	10		2020-3-17
Brazil	Curitiba	Curitiba Outer	2020	Ungraded/Alternate	2.600	881	6		2020-3-17
Brazil	Curvelo	Curvelo Long	2020	Grade 2	4.420	672	18		2020-4-1
Brazil	Curvelo	Curvelo Short	2020	Ungraded/Alternate	3.330	672	18		2020-4-1
USA	Daytona	Daytona Nascar Tri-Oval	2021	Grade 3	4.023	9.039	3	Racin´ USA 1	2021-2-14
USA	Daytona	Daytona Sports Car Course	2021	Grade 3	5.729	9.039	12	Racin´ USA 1	2021-2-4
USA	Daytona	Daytona Nascar Road Course	2021	Grade 3	5.729	9.039	15	Racin´ USA 1	2021-2-14
England	Donington Park	Donington GP	2020	Grade 2	4.023	96	11		2020-8-11
England	Donington Park	Donington National	2020	Ungraded/Alternate	3.185	96	9		2020-8-11
